"year","reg","sex","s.age","length","mean","sd","n","se"
"1",1963,"3A ","F",12,"length",134.340425531915,14.0747640272824,47,2.05301533517441
"2",1963,"3A ","F",13,"length",139.12,13.6238761004349,25,2.72477522008697
"3",1963,"3A ","F",14,"length",142.8,17.5739706510636,10,5.55737747903131
"4",1963,"3A ","F",15,"length",153.25,11.4735721178218,8,4.05652032447234
"5",1963,"3A ","F",16,"length",148.777777777778,13.7275068546493,9,4.57583561821644
"6",1963,"3A ","F",17,"length",154.375,18.2360514209785,8,6.44741781092023
"7",1963,"3A ","F",18,"length",147.2,6.76017751246223,5,3.0232432915662
"8",1963,"3A ","M",12,"length",107.965517241379,12.5512741488114,29,2.33071309761642
"9",1963,"3A ","M",13,"length",124.1,10.3004854254545,10,3.25729949498047
"10",1963,"3A ","M",14,"length",122.8,9.93478736561583,5,4.44297197830461
"11",1963,"3A ","M",15,"length",125,28.2842712474619,2,20
"12",1963,"3A ","M",16,"length",143,NA,1,NA
"13",1963,"3A ","M",17,"length",140,NA,1,NA
"14",1964,"3A ","F",12,"length",134,9.0921211313239,4,4.54606056566195
"15",1964,"3A ","F",15,"length",164,4.24264068711928,2,3
"16",1964,"3A ","M",12,"length",117.666666666667,22.8983259941275,3,13.2203546767013
"17",1964,"3A ","M",13,"length",81,NA,1,NA
"18",1964,"3B ","F",12,"length",136.769230769231,10.2266619864262,26,2.0056134241425
"19",1964,"3B ","F",13,"length",137,13.5731635675243,27,2.61215654648833
"20",1964,"3B ","F",14,"length",145.470588235294,17.6001336893318,17,4.26865942506511
"21",1964,"3B ","F",15,"length",159.833333333333,17.3599155143874,6,7.08715583134573
"22",1964,"3B ","F",16,"length",155,18.9560896108172,4,9.47804480540862
"23",1964,"3B ","F",17,"length",163.5,22.3852630093997,6,9.13874535517139
"24",1964,"3B ","F",18,"length",191,NA,1,NA
"25",1964,"3B ","M",12,"length",94,3.74165738677394,7,1.41421356237309
"26",1964,"3B ","M",13,"length",110.066666666667,11.2850512162055,15,2.91378769476411
"27",1964,"3B ","M",14,"length",125,NA,1,NA
"28",1964,"3B ","M",18,"length",151,NA,1,NA
"29",1965,"2B ","F",12,"length",115,28.9309522829789,7,10.9348721332912
"30",1965,"2B ","F",13,"length",142,NA,1,NA
"31",1965,"2B ","F",14,"length",151.333333333333,18.7705443004015,3,10.8371788046726
"32",1965,"2B ","F",15,"length",141,26.8700576850888,2,19
"33",1965,"2B ","F",16,"length",162,NA,1,NA
"34",1965,"2B ","F",17,"length",135,NA,1,NA
"35",1965,"2B ","F",18,"length",141,NA,1,NA
"36",1965,"2B ","M",12,"length",92.5,0.707106781186548,2,0.5
"37",1965,"2B ","M",13,"length",94,17.4585222742362,6,7.12741187248219
"38",1965,"2B ","M",14,"length",88.5,21.920310216783,2,15.5
"39",1965,"2B ","M",17,"length",111,NA,1,NA
"40",1965,"3B ","F",12,"length",138.75,12.6236739048956,8,4.46314271081968
"41",1965,"3B ","F",13,"length",140.625,10.8926580778064,16,2.72316451945159
"42",1965,"3B ","F",14,"length",149.777777777778,26.8178008875531,9,8.9392669625177
"43",1965,"3B ","F",15,"length",150,13.7477270848675,3,7.93725393319377
"44",1965,"3B ","F",16,"length",155.8,20.5961161387287,5,9.21086315173556
"45",1965,"3B ","F",18,"length",174,NA,1,NA
"46",1965,"3B ","M",12,"length",119.2,6.1400325732035,5,2.7459060435492
"47",1965,"3B ","M",13,"length",122,NA,1,NA
"48",1965,"3B ","M",14,"length",137,NA,1,NA
"49",1965,"3B ","M",15,"length",140,0,2,0
"50",1965,"4A ","F",12,"length",132.666666666667,7.76745346515403,3,4.48454134902457
"51",1965,"4A ","F",13,"length",143,11.3578166916005,3,6.557438524302
"52",1965,"4A ","F",14,"length",131.5,13.4350288425444,2,9.5
"53",1965,"4A ","F",15,"length",149,NA,1,NA
"54",1965,"4A ","F",16,"length",156,NA,1,NA
"55",1965,"4A ","M",12,"length",102,22.6274169979695,2,16
"56",1965,"4A ","M",13,"length",101,NA,1,NA
"57",1966,"2B ","F",12,"length",118,4.24264068711928,2,3
"58",1966,"2B ","F",14,"length",138.8,12.9305839001957,5,5.78273291792038
"59",1966,"2B ","F",15,"length",155,NA,1,NA
"60",1966,"2B ","M",12,"length",100,1.4142135623731,2,1
"61",1966,"2B ","M",13,"length",100,NA,1,NA
"62",1966,"2B ","M",14,"length",80,NA,1,NA
"63",1976,"2B ","F",12,"length",135,NA,1,NA
"64",1976,"2B ","F",13,"length",142.5,13.4350288425444,2,9.5
"65",1976,"2B ","F",14,"length",130,NA,1,NA
"66",1976,"2B ","F",15,"length",149,NA,1,NA
"67",1976,"2B ","M",12,"length",95,NA,1,NA
"68",1976,"2B ","M",15,"length",85,NA,1,NA
"69",1976,"3A ","F",13,"length",165,NA,1,NA
"70",1976,"3A ","F",15,"length",148,NA,1,NA
"71",1977,"2B ","F",14,"length",148,NA,1,NA
"72",1977,"2B ","F",16,"length",154,30.5122926047847,3,17.6162803489651
"73",1977,"2B ","F",17,"length",146,NA,1,NA
"74",1977,"2B ","M",12,"length",78,NA,1,NA
"75",1977,"2B ","M",13,"length",97,NA,1,NA
"76",1977,"2B ","M",15,"length",115,NA,1,NA
"77",1977,"2B ","M",16,"length",102,NA,1,NA
